subplot_id,year,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl,fhd,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90
C01E,2019,9.745962118,4.872869314,8.890002049,23.74485535,10.86899313,40,22.558,14.692275,16.0445,5.979812093,2.806055013,7.717300045,8,10.175,6.432639128,11,7.002808107,2.954665165,1.851684535,2.864396852,2,0.05,0.695833333,263.7096153,11.89130517,11.05922585,5.790512647,7.104042708,4.100454914,6.671,18.71745314,81.28254686,22.558,2962.2,6.2,0.929998461,18.64916885,2.826145138,1.820741889,55.04733918,57,14.01593567,100,6,-0.220533311,2.933380197,2.06,3.332,6.671,10.299,12.538
C01E,2019,10.29909216,4.36910817,9.523503308,19.0891062,11.16616218,40,23.282,15.231275,17.0345,6.174624654,2.61437195,7.713055125,8,9.925,5.667665824,10,7.432223455,3.125298191,1.918036041,3.21138731,0,0,0.66875,115.2449847,8.290077825,6.820527425,6.069825317,7.982996105,4.549730907,6.842,11.8985782,88.1014218,23.282,2637.625,5,0.928522373,19.18133536,2.813968223,1.622797445,57.01512706,59,13.6924539,108,6,-0.506363982,3.409743912,2.909,3.935,6.842,11.205,14.159
C01W,2019,9.572657031,4.313816284,10.32118885,18.60901094,10.47757359,40,21.535,13.776675,14.943,6.2685934,2.445836471,7.815462868,8,9.3,5.501514943,8,8,3.596445388,2.107904231,3.43656406,1,0.025,0.732608696,204.6464405,10.73088897,9.460151295,5.455756736,7.528846982,4.896941405,6.197,8.749825154,91.25017485,21.535,2323.6,5.2,0.943516815,17.95727003,2.847042964,1.679634487,56.28569118,58,13.27316988,104,0.612,-0.396802267,3.516700618,1.962,3.112,6.197,11.461,14.812
C01W,2019,8.045312607,4.300561303,7.598960445,18.49482752,9.097225499,40,21.067,13.107875,13.937,5.680148047,2.689943958,7.199599673,8,7.725,5.638637315,5.5,6.601726084,3.193456289,1.762542762,3.418506132,0,0,0.713636364,259.9139171,9.947207303,12.68727646,4.924726941,5.538637002,4.463519102,3.279,14.02277531,85.97722469,21.542,2992.4,4.325,0.875135831,14.98442662,2.499685922,1.379605786,50.02656794,49,12.40651955,94,6,0.001468549,3.139844492,1.763,2.361,3.279,9.592,12.1629
C02E,2019,9.606611248,5.969166888,7.703681509,35.63095334,11.2706326,40,25.252,16.700375,20.0875,5.932758932,2.314270106,6.56425095,8,9.825,7.82791684,8,6.996906443,3.033581192,1.623005622,2.959869834,0,0,0.716346154,793.3037245,18.44424447,21.28646449,7.462473979,7.176159279,6.05485274,5.534,9.854746363,90.14525364,26.734,2244.475,5.15,0.900113083,18.32491051,2.712122762,1.527968249,51.13478814,52,12.85732857,94,6,-0.31910157,2.981179531,2.233,2.881,5.534,8.06,19.9169
C02E,2019,10.8599843,5.041010024,11.16329168,25.41178207,11.9463696,40,27.151,18.971225,20.8735,6.19616227,2.090383406,6.981842099,8,10.375,7.308889915,9,7.897628957,2.957611504,1.767954675,2.612811298,0,0,0.700892857,1020.323614,23.69570668,21.42048317,5.811301335,8.963914652,6.310021265,7.86,8.054534408,91.94546559,27.151,2427.95,5.775,0.933881087,22.11330049,2.96588759,1.59479196,53.5017079,54,14.96830507,103,6,-0.137407469,2.645287142,2.305,2.978,7.86,13.765,19.268
C02W,2019,11.80053171,7.000610529,9.715458281,49.00854778,13.67610627,40,28.177,18.914925,22.207,6.41909183,1.916117702,7.677250786,8,11,8.082903769,10,6.783988201,3.195110168,1.700611199,2.767815529,0,0,0.725,774.4253268,18.66290463,20.64270616,8.275354439,8.917980451,7.376721788,7.611,4.966751918,95.03324808,28.177,2443.875,6.275,0.939721659,22.83172538,2.919311699,1.474436054,52.6394062,54,12.99097374,514,6,0.220577379,19.9920991,1.681,2.857,7.602,11.216,23.356
C02W,2019,12.79223947,6.768563734,9.889954851,45.81345502,14.39319884,20,28.451,18.64685,21.9875,6.396671773,2.174437383,7.769877271,8,12.35,8.355741801,9,5.473418836,2.952197429,1.466164966,3.079457812,0,0,0.696551724,709.407703,15.91422769,21.35755276,8.851208614,11.8548795,7.624152813,9.131,11.33614426,88.66385574,28.451,4885.85,5.2,0.897304616,21.15846995,2.829271987,1.530298541,54.82130985,57,13.2466289,100,6,-0.488257055,3.421959832,3.382,5.663,9.131,20.139,24.183
C03E,2019,7.10745558,3.131044462,6.448408078,9.803439424,7.750759851,40,23.709,15.572625,17.2915,5.73237582,2.10195441,6.277992082,8,5.025,3.93203477,4,6.282837828,2.526665904,1.432246146,2.424143369,0,0,0.637,490.6747584,15.16487458,16.1462484,5.336783078,5.922662716,4.651744187,4.151,7.729301531,92.27069847,23.709,2313.4,4.975,0.846309845,17.80902825,2.581520861,1.468437595,47.99529158,47,13.31894584,96,3,0.115906295,3.052902945,2.006,2.754,4.151,6.838,14.524
C03E,2019,8.340479521,4.198429395,8.261254054,17.62680938,9.242712106,10,21.131,18.6417,19.9235,4.480366408,1.860428689,3.806619398,8,6.1,4.383048153,4,3.836038011,2.070877836,1.073033259,2.014630795,0,0,0.577272727,426.905507,16.29150867,12.7079602,2.495887553,9.261990874,6.681775789,8.833,31.95098739,68.04901261,21.131,4203.2,3.2,0.858841255,17.19483101,2.448754914,1.405453295,46.9531266,45,16.23220423,126.374,2,0.13427711,2.500483444,2.151,2.452,8.833,15.883,18.27
